,Job Title,Company,locations,Requierd Skills,type,Job link,Job Descripttion,Logo ,Company link 
10,Data Scientist “Mathematics/Physics”,Dafa,"Cairo, Egypt",Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Business Objects · Computer Science · D3 · Data Mining · Gurobi · Information Technology (IT) · Mathematics · Python,Full Time,https://wuzzuf.net/jobs/p/bRZ7uIbexSQa-Data-Scientist-“MathematicsPhysics”-Dafa-Cairo-Egypt?o=11&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Not found the Description block in the page, It may be in other place!",https://images.wuzzuf-data.net/files/company_logo/Dafa-Egypt-76749-1662034171.png,https://wuzzuf.net/jobs/careers/Tarseya-Egypt-76749
11,Senior Data Engineer- Banha,Z2 Data,"Qalubia, Egypt",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Other · Data · Communication · MS Office · Analysis · Engineering · Computer Science · Data Administration,Full Time,https://wuzzuf.net/jobs/p/gPlkgoEtHL4N-Senior-Data-Engineer--Banha-Z2-Data-Qalubia-Egypt?o=12&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"The goal is to ensure that information flows timely and securely to and from the organization as well as within.• Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data• Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects• Establish rules and procedures for data sharing with upper management, external stakeholders etc.• Support others in the daily use of data systems and ensure adherence to legal and company standards• Assist with reports and data extraction when needed• Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.)• Ensure digital databases and archives are protected from security breaches and data losses• Troubleshoot data-related problems and authorize maintenance or modifications• ",https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png,https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002
12,Junior Data Engineer - Benha,Z2 Data,"Banha, Qalubia, Egypt",Entry Level · 0 - 1 Yrs of Exp · Business Development · Analysis · Communication · Data · Electrical · Engineering,Full Time,https://wuzzuf.net/jobs/p/njfYW6M0SxCi-Junior-Data-Engineer---Benha-Z2-Data-Qalubia-Egypt?o=13&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"The goal is to ensure that information flows timely and securely to and from the organization as well as within.• Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data• Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects• Establish rules and procedures for data sharing with upper management, external stakeholders etc.• Support others in the daily use of data systems and ensure adherence to legal and company standards• Assist with reports and data extraction when needed• Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.)• Ensure digital databases and archives are protected from security breaches and data losses• Troubleshoot data-related problems and authorize maintenance or modifications• ",https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png,https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002
13,Senior Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt",Experienced · 2 - 4 Yrs of Exp · Analyst/Research · Data Analysis · Analysis · Administration · Computer Science · Data Analyst · Database · Data · Analyst · Information Technology (IT),Full Time,https://wuzzuf.net/jobs/p/ecDQZn7zPGxQ-Senior-Data-Analyst-Z2-Data-Cairo-Egypt?o=14&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.• Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects.• Establish rules and procedures for data sharing with upper management, external stakeholders etc.• Support others in the daily use of data systems and ensure adherence to legal and company standards.• Assist with reports and data extraction when needed.• Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.).• Ensure digital databases and archives are protected from security breaches and data losses.• Troubleshoot data-related problems and authorize maintenance or modifications.• We are looking for an experienced Senior Data Analyst to oversee the development and use of data systems.• You will discover efficient ways to organize, store and analyze data with attention to security and confidentiality.• You should be able to fully grasp the complexity of data management.• The ideal candidate will have a strong understanding of databases and data analysis procedures.• You will also be tech-savvy and possess excellent troubleshooting skills.• The goal is to ensure that information flows timely and securely to and from the organization as well as within.• ",https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png,https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002
14,Senior Financial Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Analysis · Accounting · Financial · Communication skills · Commerce · CFA · Data · Data Analysis,Full Time,https://wuzzuf.net/jobs/p/r23QlbZLj34c-Senior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=15&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,Analyzing the extracted information from the financial statements. • Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams.• Assigning Targets and setting plans for the teams according to the business needs.• Prepare and deliver the necessary training needed for new comers.• Supporting the new comers and teams on daily basis to ensure the process is implemented.• Testing the data inserted in the system and reporting any issue occurred in the process. • Assisting the Financial Analysis Manager in daily technical tasks.• Reporting to the Finance Manager the operation progress on a weekly basis.• ,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png,https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002
15,Junior Financial Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt",Entry Level · 0 - 1 Yrs of Exp · Accounting/Finance · Analyst/Research · .css-5x9pm1{-webkit-text-decoration:none;text-decoration:none;color:inherit;max-width:calc(100vw / 2 - 32px);white-space:nowrap;overflow:hidden;text-overflow:ellipsis;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;}Analysis · Accounting · Financial Analysis · Financial Statements · Commerce · Communication skills · Data · Data Analysis,Full Time,https://wuzzuf.net/jobs/p/JeFJXhJWDb4O-Junior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=16&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,Analyzing the extracted information from the financial statements. • Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams.• Supporting the new comers and teams on daily basis to ensure the process is implemented.• Testing the data inserted in the system and reporting any issue occurred in the process. • Assisting the Financial Analysis Manager in daily technical tasks.• Reporting to the Finance Manager the operation progress on a weekly basis.• ,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png,https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002
16,Data Entry Clerk,Parkville Pharmaceuticals,"Qalyub, Qalubia, Egypt",Experienced · 3 - 5 Yrs of Exp · Administration · excel · Microsoft · Numerical Analysis · Data Entry · Administration · Customer Service,Full Time,https://wuzzuf.net/jobs/p/XUci2nTpbcnI-Data-Entry-Clerk-Parkville-Pharmaceuticals-Qalubia-Egypt?o=17&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Insert customer/account or task data by inputting text-based and numerical information from source documents within time limits in addition to compiling/verifying the accuracy and sorting information according to priorities to prepare source data for computer entry.• Review data for deficiencies or errors, correct any incompatibilities if possible, and check the output besides research / obtain further information for incomplete documents in addition to applying data program techniques and procedures.• Generate reports, store completed work in designated locations, and perform backup operations regularly in order to secure the supply chain data.• Record / Maintain the required ISO documents and data besides keeping the information confidential in addition to scan documents and printing files when needed.• Respond to queries for information and access relevant files besides complying with data integrity and security policies while ensuring proper use of office equipment and addressing any malfunctions.• Testing new database systems and software updates to be easily used by other people for reference/reports, or making decisions.• Insert data of sales orders once received into the system in addition to following up with Finance for issuing the invoices in order to foster the inventory movement.• ",https://images.wuzzuf-data.net/files/company_logo/Parkville-Pharmaceuticals-Egypt-9968-1611482055.jpeg,https://wuzzuf.net/jobs/careers/Parkville-Pharmaceuticals-Egypt-9968
17,Data Analyst - Banha,Z2 Data,"Banha, Qalubia, Egypt",Entry Level · 0 - 3 Yrs of Exp · Business Development · Analyst/Research · Analysis · Commerce · Computer Science · Data Analysis · English · MS Office · Information Technology (IT),Full Time,https://wuzzuf.net/jobs/p/5JCxxhUwHrzn-Data-Analyst---Banha-Z2-Data-Qalubia-Egypt?o=18&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.• Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects.• Support others in the daily use of data systems and ensure adherence to legal and company standards.• Assist with reports and data extraction when needed.• Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.).• Ensure digital databases and archives are protected from security breaches and data losses.• Troubleshoot data-related problems and authorize maintenance or modifications.• ",https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png,https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002
18,Data Architect,Centro CDX,"Maadi, Cairo, Egypt",Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AWS · Azure · Big Data · Computer Engineering · Computer Science · Data · Data Modeling,Full Time,https://wuzzuf.net/jobs/p/qOgnbq0NmyDm-Data-Architect-Centro-CDX-Cairo-Egypt?o=19&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Design and implement effective database solutions and models to store and retrieve company data.• Examine and identify database structural necessities by evaluating client operations, applications, and programming.• Assess database implementation procedures to ensure they comply with internal and external regulations.• Install and organize information systems to guarantee company functionality.• Prepare accurate database design and architecture reports for management and executive teams.• Oversee the migration of data from legacy systems to new solutions.• Monitor the system performance by performing regular tests, troubleshooting, and integrating new features.• Recommend solutions to improve new and existing database systems.• Educate staff members through training and individual support.• Offer support by responding to system problems in a timely manner.• ",https://images.wuzzuf-data.net/files/company_logo/Centro-Global-Solutions-Egypt-2799-1638874864.png,https://wuzzuf.net/jobs/careers/Centro-Global-Solutions-Egypt-2799
19,Junior Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt",Entry Level · 0 - 1 Yrs of Exp · Analyst/Research · Data Analysis · Analysis · Commerce · Computer Science · Information Technology (IT) · English · MS Office,Full Time,https://wuzzuf.net/jobs/p/vRmBDfFqeBXN-Junior-Data-Analyst-Z2-Data-Cairo-Egypt?o=20&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.• Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects.• Support others in the daily use of data systems and ensure adherence to legal and company standards.• Assist with reports and data extraction when needed.• Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.).• Ensure digital databases and archives are protected from security breaches and data losses.• Troubleshoot data-related problems and authorize maintenance or modifications.• ",https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png,https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002
20,Senior Business Intelligence Analyst,Future Group,"Dokki, Giza, Egypt",Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Analysis · analytical · Computer Science · Business Analysis · Information Technology (IT) · Analyst,Full Time,https://wuzzuf.net/jobs/p/kTeqVGENBIjl-Senior-Business-Intelligence-Analyst-Future-Group-Giza-Egypt?o=21&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Utilizes BI Tools to design and develop analytical content including reports, dashboards, and ad-hoc analyses and data sets.• Interpret data and analyze results to provide ongoing reports and dashboards and Provide insights.• Supports end-user adoption of BI tools through trainings and creation of documentation.• Understand the existing source system data models.• Prepare technical specifications and documentation for our workflows supporting BI reports.• Perform end to end data validation to maintain accuracy of data sets• Interacting with business partners to identify functional requirements resulting in data acquisition for BI applications.• Provide data analysis and support to business functions.• Work with cross-functional teams to set up, maintain and scale business tools and processes to manage & identify areas of improvement for existing processes.• With a continuous improvement mindset, identifies opportunities and recommends enhancements to develop and improve procedures and framework for Business Intelligence.• ",https://images.wuzzuf-data.net/files/company_logo/Future-Group-Egypt-640-1522226322.png,https://wuzzuf.net/jobs/careers/Future-Group-Egypt-640
21,Marketing Executive,Vision 22 Advertising Agency,"Maadi, Cairo, Egypt",Experienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Marketing · Market Research · Marketing Campaigns · Marketing Strategies · Social Media · Advertising · Data Analysis · Strategic Planning · Communication,Full Time,https://wuzzuf.net/jobs/p/xEfF60xRU8zm-Marketing-Executive-Vision-22-Advertising-Agency-Cairo-Egypt?o=22&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Conceive and develop efficient and intuitive marketing strategies• Organize and oversee advertising/communication campaigns• Conduct market research and analysis to evaluate trends, brand awareness, and competition ventures• Initiate and control surveys to assess customer requirements and dedication• Write copy for diverse marketing distributions• Monitor progress of offline campaigns using various metrics and submit reports of performance• ",https://images.wuzzuf-data.net/files/company_logo/Vision-22-Advertising-Agency-Egypt-22073-1579427585.jpg,https://wuzzuf.net/jobs/careers/Vision-22-Advertising-Agency-Egypt-22073
22,Purchasing Specialist - Manufacturing (Food & Beverage),Confidential,"New Cairo, Cairo, Egypt",Experienced · 2+ Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Administration · Business Administration · Communication · Communication skills · Logistics · Negotiation · Procurement · Supply Chain,Full Time,https://wuzzuf.net/jobs/p/GncORpfR2Ree-Purchasing-Specialist---Manufacturing-Food-Beverage-Cairo-Egypt?o=23&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Ensuring the quality, prices and timing of the supply.• Make the purchase and submit a detailed report on the purchases to the Purchasing Manager• Follow up with finance to make sure that the check is delivered on time.• Follow-up inventory balances for operational items and raw materials.• Create a list of suppliers and update them in an ongoing manner.• Work to improve purchasing systems and processes.• Maintain the supplier database, purchase records, and related documentation.• Keep invoices for purchasing goods, products and services and write them down.• Handle the day-to-day activities of the purchasing department.• Coordinate with suppliers to ensure on-time delivery.• Review quality of purchased products• Carry out the necessary procedures in the case of defects in purchases.• Prepare reports on purchases, including cost analyses.• Search the market before make the purchase of goods.• ","Not found the Logo in the page, It might be without a logo!",The Company link not Found!
23,Safety Supervisor,New Plan,"New Capital, Cairo, Egypt",Experienced · 4 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Quality · Health · Safety · safety officer · Engineering · Safety Management · Construction · Quality Assurance · Quality Control,Full Time,https://wuzzuf.net/jobs/p/cGNsXXDOBFvy-Safety-Supervisor-New-Plan-Cairo-Egypt?o=24&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,He will be responsible for facilitating compliance with occupational health and safety (OSH) guidelines.• His goal will be always ensure safe working environment and prevent any injuries and accidents.• Plan and implement OHS policies and programs• Advise and lead employees on various safety-related topics• Prepare educational seminars and webinars on a regular basis• Review existing policies and procedures• Adhere to all the rules and regulations• Identify process bottlenecks and offer timely solutions• Check if all the employees are acting in adherence with rules and regulations• ,https://images.wuzzuf-data.net/files/company_logo/6335500726319ade4ad342.png,https://wuzzuf.net/jobs/careers/AlKhalil-Egypt-32501
24,Sales Analyst,Confidential,"Giza, Egypt",Experienced · 3+ Yrs of Exp · Administration · Analyst/Research · Sales/Retail · Admin · Administration · Sales · Office Administration · Office Management · Data Analysis · Sales Plans,Full Time,https://wuzzuf.net/jobs/p/38nEwo6G6675-Sales-Analyst-Giza-Egypt?o=25&l=sp&t=sj&a=Data%20analysis%20jobs|search-v3|hpb,"Performs various data analysis, sales office administration and executive secretary within Sales department.• Customer contracts approval & Accounts opening.• Analyzes Sales targets against the actual Sales.• Upload registers & files in the company information system.• Monitor all campaign results & all related reports.• Qualify & allocated sales leads.• Assists Sales Manager in coordinating with other departments.• Assists Sales Manager and Sales Team in all areas within Egypt in compiling and analyzing sales data.• Prepares daily, weekly and monthly region sales reports specifying product types.• Assists the Sales Manager and Sales Team in developing business proposals and other documents.• Receives all correspondence to Sales Department staff in their absence; distributes all correspondence from the sales department to other company units.• Coordinates with other company departments to solve problems related to Sales• Assists the Sales Manager in developing an effective sales plan.• ","Not found the Logo in the page, It might be without a logo!",The Company link not Found!
